Bairro,AIS
Aldeota,AIS 01
Cais do Porto,AIS 01
Meireles,AIS 01
Mucuripe,AIS 01
Praia de Iracema,AIS 01
Varjota,AIS 01
Vicente Pinzón,AIS 01
Bom Jardim,AIS 02
Conjunto Ceará I,AIS 02
Conjunto Ceará II,AIS 02
Genibaú,AIS 02
Granja Lisboa,AIS 02
Granja Portugal,AIS 02
Siqueira,AIS 02
Ancuri,AIS 03
Barroso,AIS 03
Coaçu,AIS 03
Conjunto Palmeiras,AIS 03
Curió,AIS 03
Guajeru,AIS 03
Jangurussu,AIS 03
Lagoa Redonda,AIS 03
Messejana,AIS 03
Parque Santa Maria,AIS 03
Paupina,AIS 03
Pedras,AIS 03
São Bento,AIS 03
Álvaro Weyne,AIS 04
Carlito Pamplona,AIS 04
Centro,AIS 04
Farias Brito,AIS 04
Jacarecanga,AIS 04
Monte Castelo,AIS 04
Moura Brasil,AIS 04
São Gerardo,AIS 04
Ellery,AIS 04
Aeroporto,AIS 05
Benfica,AIS 05
Bom Futuro,AIS 05
Couto Fernandes,AIS 05
Damas,AIS 05
Demócrito Rocha,AIS 05
Rachel de Queiroz,AIS 05
Fátima,AIS 05
Itaoca,AIS 05
Itaperi,AIS 05
Jardim América,AIS 05
José Bonifácio,AIS 05
Montese,AIS 05
Panamericano,AIS 05
Parangaba,AIS 05
Parreão,AIS 05
Serrinha,AIS 05
Vila Peri,AIS 05
Vila União,AIS 05
Amadeu Furtado,AIS 06
Antônio Bezerra,AIS 06
Autran Nunes,AIS 06
Bela Vista,AIS 06
Bonsucesso,AIS 06
Dom Lustosa,AIS 06
Henrique Jorge,AIS 06
João XXIII,AIS 06
Jóquei Clube,AIS 06
Olavo Oliveira,AIS 06
Padre Andrade,AIS 06
Parque Araxá,AIS 06
Parquelândia,AIS 06
Pici,AIS 06
Presidente Kennedy,AIS 06
Quintino Cunha,AIS 06
Rodolfo Teófilo,AIS 06
Aerolândia,AIS 07
Alto da Balança,AIS 07
Boa Vista / Castelão,AIS 07
Cajazeiras,AIS 07
Cambeba,AIS 07
Cidade dos Funcionários,AIS 07
Dias Macedo,AIS 07
Edson Queiroz,AIS 07
Jardim das Oliveiras,AIS 07
José de Alencar,AIS 07
Parque Dois Irmãos,AIS 07
Parque Iracema,AIS 07
Parque Manibura,AIS 07
Passaré,AIS 07
Sabiaguaba,AIS 07
Sapiranga / Coité,AIS 07
Barra do Ceará,AIS 08
Cristo Redentor,AIS 08
Floresta,AIS 08
Jardim Guanabara,AIS 08
Jardim Iracema,AIS 08
Pirambu,AIS 08
Vila Velha,AIS 08
Aracapé,AIS 09
Canindezinho,AIS 09
Conjunto Esperança,AIS 09
Jardim Cearense,AIS 09
Maraponga,AIS 09
Mondubim,AIS 09
Novo Mondubim,AIS 09
Parque Presidente Vargas,AIS 09
Parque Santa Rosa,AIS 09
Parque São José,AIS 09
Planalto Ayrton Senna,AIS 09
Prefeito José Walter,AIS 09
Manoel Sátiro,AIS 09
Cidade 2000,AIS 10
Cocó,AIS 10
Dionísio Torres,AIS 10
Engenheiro Luciano Cavalcante,AIS 10
Guararapes,AIS 10
Joaquim Távora,AIS 10
De Lourdes,AIS 10
Manuel Dias Branco,AIS 10
Papicu,AIS 10
Praia do Futuro I,AIS 10
Praia do Futuro II,AIS 10
Salinas,AIS 10
Tauape,AIS 10